filename,label
0.png,0
1.png,1
2.png,1
3.png,1
4.png,1
5.png,1
6.png,1
7.png,1
8.png,0
9.png,0
10.png,1
11.png,0
12.png,1
13.png,0
14.png,1
15.png,0
16.png,0
17.png,0
18.png,1
19.png,0
20.png,1
21.png,0
22.png,1
23.png,0
24.png,1
25.png,1
26.png,0
27.png,0
28.png,1
29.png,1
30.png,0
31.png,0
32.png,1
33.png,1
34.png,0
35.png,1
36.png,0
37.png,1
38.png,1
39.png,1
40.png,0
41.png,1
42.png,1
43.png,1
44.png,1
45.png,1
46.png,1
47.png,1
48.png,1
49.png,1
50.png,0
51.png,0
52.png,1
53.png,0
54.png,1
55.png,0
56.png,1
57.png,0
58.png,0
59.png,0
60.png,0
61.png,1
62.png,1
63.png,1
64.png,0
65.png,1
66.png,0
67.png,1
68.png,0
69.png,0
70.png,1
71.png,1
72.png,1
73.png,0
74.png,1
75.png,1
76.png,1
77.png,0
78.png,1
79.png,1
80.png,0
81.png,1
82.png,0
83.png,0
84.png,0
85.png,1
86.png,1
87.png,0
88.png,0
89.png,0
90.png,1
91.png,1
92.png,1
93.png,0
94.png,1
95.png,1
96.png,1
97.png,0
98.png,1
99.png,0
100.png,1
101.png,1
102.png,0
103.png,0
104.png,0
105.png,0
106.png,1
107.png,0
108.png,1
109.png,0
110.png,0
111.png,0
112.png,1
113.png,1
114.png,0
115.png,0
116.png,0
117.png,0
118.png,1
119.png,0
120.png,0
121.png,1
122.png,1
123.png,0
124.png,1
125.png,1
126.png,0
127.png,0
128.png,0
129.png,1
130.png,1
131.png,1
132.png,0
133.png,0
134.png,0
135.png,0
136.png,1
137.png,0
138.png,0
139.png,0
140.png,1
141.png,0
142.png,0
143.png,1
144.png,0
145.png,1
146.png,0
147.png,0
148.png,0
149.png,0
150.png,0
151.png,0
152.png,0
153.png,1
154.png,1
155.png,1
156.png,0
157.png,1
158.png,0
159.png,1
160.png,0
161.png,0
162.png,1
163.png,1
164.png,1
165.png,0
166.png,1
167.png,1
168.png,1
169.png,0
170.png,0
171.png,0
172.png,0
173.png,0
174.png,0
175.png,0
176.png,0
177.png,0
178.png,1
179.png,0
180.png,1
181.png,0
182.png,0
183.png,0
184.png,0
185.png,0
186.png,1
187.png,1
188.png,1
189.png,0
190.png,1
191.png,0
192.png,1
193.png,1
194.png,0
195.png,1
196.png,1
197.png,1
198.png,1
199.png,0
200.png,1
201.png,1
202.png,0
203.png,1
204.png,1
205.png,0
206.png,0
207.png,1
208.png,0
209.png,1
210.png,0
211.png,0
212.png,0
213.png,1
214.png,0
215.png,0
216.png,1
217.png,0
218.png,1
219.png,0
220.png,1
221.png,0
222.png,0
223.png,0
224.png,0
225.png,0
226.png,0
227.png,0
228.png,0
229.png,0
230.png,0
231.png,0
232.png,1
233.png,1
234.png,1
235.png,1
236.png,0
237.png,1
238.png,0
239.png,1
240.png,0
241.png,1
242.png,1
243.png,1
244.png,0
245.png,0
246.png,0
247.png,0
248.png,0
249.png,0
250.png,0
251.png,1
252.png,0
253.png,0
254.png,0
255.png,1
256.png,0
257.png,1
258.png,1
259.png,1
260.png,0
261.png,1
262.png,0
263.png,1
264.png,1
265.png,0
266.png,0
267.png,1
268.png,0
269.png,1
270.png,0
271.png,1
272.png,1
273.png,0
274.png,0
275.png,1
276.png,0
277.png,1
278.png,0
279.png,1
280.png,1
281.png,1
282.png,1
283.png,0
284.png,1
285.png,0
286.png,1
287.png,0
288.png,1
289.png,1
290.png,0
291.png,1
292.png,1
293.png,1
294.png,0
295.png,0
296.png,0
297.png,0
298.png,1
299.png,1
300.png,0
301.png,1
302.png,0
303.png,1
304.png,0
305.png,0
306.png,0
307.png,0
308.png,1
309.png,1
310.png,1
311.png,0
312.png,0
313.png,1
314.png,1
315.png,0
316.png,1
317.png,0
318.png,1
319.png,0
320.png,0
321.png,0
322.png,0
323.png,0
324.png,1
325.png,1
326.png,0
327.png,0
328.png,1
329.png,1
330.png,0
331.png,1
332.png,0
333.png,0
334.png,0
335.png,0
336.png,1
337.png,0
338.png,0
339.png,0
340.png,0
341.png,1
342.png,1
343.png,0
344.png,1
345.png,1
346.png,1
347.png,1
348.png,1
349.png,0
350.png,1
351.png,0
352.png,1
353.png,1
354.png,1
355.png,1
356.png,0
357.png,0
358.png,1
359.png,1
360.png,1
361.png,1
362.png,1
363.png,0
364.png,1
365.png,0
366.png,1
367.png,0
368.png,1
369.png,1
370.png,1
371.png,0
372.png,0
373.png,1
374.png,1
375.png,1
376.png,1
377.png,1
378.png,0
379.png,0
380.png,0
381.png,0
382.png,1
383.png,1
384.png,1
385.png,0
386.png,0
387.png,0
388.png,1
389.png,0
390.png,1
391.png,1
392.png,0
393.png,0
394.png,0
395.png,0
396.png,1
397.png,1
398.png,1
399.png,1
400.png,0
401.png,0
402.png,1
403.png,1
404.png,1
405.png,1
406.png,0
407.png,1
408.png,1
409.png,0
410.png,0
411.png,0
412.png,0
413.png,0
414.png,0
415.png,1
416.png,1
417.png,0
418.png,0
419.png,0
420.png,1
421.png,0
422.png,1
423.png,1
424.png,0
425.png,1
426.png,0
427.png,1
428.png,1
429.png,1
430.png,0
431.png,0
432.png,1
433.png,1
434.png,0
435.png,0
436.png,1
437.png,0
438.png,0
439.png,0
440.png,0
441.png,0
442.png,0
443.png,1
444.png,0
445.png,0
446.png,0
447.png,0
448.png,1
449.png,1
450.png,0
451.png,1
452.png,0
453.png,1
454.png,1
455.png,0
456.png,1
457.png,1
458.png,1
459.png,1
460.png,0
461.png,1
462.png,1
463.png,0
464.png,0
465.png,1
466.png,0
467.png,0
468.png,0
469.png,1
470.png,0
471.png,1
472.png,1
473.png,1
474.png,1
475.png,1
476.png,1
477.png,1
478.png,1
479.png,1
480.png,1
481.png,1
482.png,0
483.png,0
484.png,0
485.png,0
486.png,0
487.png,0
488.png,1
489.png,1
490.png,1
491.png,0
492.png,0
493.png,0
494.png,0
495.png,1
496.png,1
497.png,1
498.png,0
499.png,1
500.png,0
501.png,0
502.png,1
503.png,1
504.png,1
505.png,1
506.png,1
507.png,0
508.png,0
509.png,0
510.png,1
511.png,0
512.png,0
513.png,1
514.png,1
515.png,1
516.png,0
517.png,1
518.png,1
519.png,0
520.png,0
521.png,0
522.png,1
523.png,0
524.png,1
525.png,0
526.png,1
527.png,1
528.png,0
529.png,1
530.png,1
531.png,1
532.png,0
533.png,0
534.png,1
535.png,1
536.png,1
537.png,0
538.png,0
539.png,1
540.png,1
541.png,1
542.png,1
543.png,0
544.png,1
545.png,1
546.png,1
547.png,1
548.png,0
549.png,1
550.png,0
551.png,1
552.png,1
553.png,1
554.png,1
555.png,1
556.png,1
557.png,0
558.png,1
559.png,0
560.png,0
561.png,0
562.png,1
563.png,1
564.png,1
565.png,0
566.png,0
567.png,0
568.png,1
569.png,1
570.png,1
571.png,0
572.png,0
573.png,1
574.png,1
575.png,0
576.png,0
577.png,1
578.png,0
579.png,0
580.png,1
581.png,0
582.png,0
583.png,0
584.png,1
585.png,0
586.png,0
587.png,0
588.png,1
589.png,0
590.png,1
591.png,1
592.png,0
593.png,0
594.png,0
595.png,1
596.png,1
597.png,1
598.png,0
599.png,0
600.png,0
601.png,1
602.png,0
603.png,1
604.png,1
605.png,1
606.png,1
607.png,1
608.png,1
609.png,0
610.png,0
611.png,1
612.png,1
613.png,1
614.png,1
615.png,0
616.png,0
617.png,0
618.png,0
619.png,0
620.png,0
621.png,0
622.png,1
623.png,1
624.png,1
625.png,0
626.png,0
627.png,0
628.png,1
629.png,1
630.png,1
631.png,0
632.png,1
633.png,0
634.png,0
635.png,1
636.png,0
637.png,0
638.png,0
639.png,1
640.png,0
641.png,0
642.png,0
643.png,1
644.png,0
645.png,1
646.png,0
647.png,1
648.png,1
649.png,0
650.png,0
651.png,0
652.png,0
653.png,1
654.png,1
655.png,1
656.png,0
657.png,0
658.png,0
659.png,0
660.png,1
661.png,1
662.png,0
663.png,1
664.png,0
665.png,1
666.png,1
667.png,1
668.png,1
669.png,0
670.png,0
671.png,0
672.png,0
673.png,0
674.png,0
675.png,0
676.png,1
677.png,0
678.png,1
679.png,1
680.png,0
681.png,1
682.png,1
683.png,0
684.png,1
685.png,1
686.png,0
687.png,1
688.png,0
689.png,1
690.png,1
691.png,1
692.png,0
693.png,1
694.png,1
695.png,1
696.png,0
697.png,1
698.png,1
699.png,0
700.png,1
701.png,1
702.png,1
703.png,0
704.png,1
705.png,0
706.png,1
707.png,1
708.png,0
709.png,0
710.png,1
711.png,1
712.png,1
713.png,0
714.png,0
715.png,0
716.png,0
717.png,0
718.png,0
719.png,0
720.png,1
721.png,0
722.png,0
723.png,0
724.png,0
725.png,0
726.png,0
727.png,0
728.png,1
729.png,1
730.png,1
731.png,0
732.png,1
733.png,1
734.png,0
735.png,0
736.png,0
737.png,1
738.png,1
739.png,0
740.png,1
741.png,1
742.png,0
743.png,0
744.png,0
745.png,0
746.png,0
747.png,0
748.png,0
749.png,1
750.png,1
751.png,0
752.png,0
753.png,1
754.png,0
755.png,1
756.png,0
757.png,0
758.png,0
759.png,1
760.png,0
761.png,0
762.png,0
763.png,0
764.png,1
765.png,1
766.png,1
767.png,1
768.png,1
769.png,1
770.png,1
771.png,1
772.png,0
773.png,1
774.png,0
775.png,1
776.png,1
777.png,1
778.png,0
779.png,1
780.png,1
781.png,0
782.png,1
783.png,1
784.png,0
785.png,1
786.png,1
787.png,0
788.png,1
789.png,0
790.png,0
791.png,1
792.png,0
793.png,1
794.png,1
795.png,1
796.png,1
797.png,1
798.png,1
799.png,1
800.png,1
801.png,1
802.png,1
803.png,1
804.png,0
805.png,1
806.png,1
807.png,0
808.png,0
809.png,1
810.png,1
811.png,0
812.png,0
813.png,1
814.png,0
815.png,1
816.png,0
817.png,0
818.png,0
819.png,1
820.png,0
821.png,1
822.png,0
823.png,1
824.png,0
825.png,0
826.png,1
827.png,1
828.png,1
829.png,0
830.png,1
831.png,1
832.png,1
833.png,1
834.png,1
835.png,0
836.png,1
837.png,1
838.png,0
839.png,0
840.png,0
841.png,0
842.png,1
843.png,1
844.png,1
845.png,0
846.png,1
847.png,0
848.png,1
849.png,0
850.png,0
851.png,0
852.png,1
853.png,1
854.png,1
855.png,1
856.png,0
857.png,1
858.png,1
859.png,0
860.png,0
861.png,1
862.png,0
863.png,1
864.png,1
865.png,1
866.png,1
867.png,0
868.png,0
869.png,1
870.png,0
871.png,0
872.png,0
873.png,1
874.png,0
875.png,0
876.png,0
877.png,0
878.png,0
879.png,0
880.png,0
881.png,1
882.png,0
883.png,1
884.png,1
885.png,1
886.png,1
887.png,1
888.png,1
889.png,1
890.png,1
891.png,0
892.png,0
893.png,0
894.png,0
895.png,1
896.png,1
897.png,1
898.png,1
899.png,1
900.png,0
901.png,0
902.png,0
903.png,1
904.png,1
905.png,1
906.png,1
907.png,0
908.png,1
909.png,1
910.png,0
911.png,1
912.png,0
913.png,1
914.png,1
915.png,0
916.png,0
917.png,0
918.png,1
919.png,1
920.png,1
921.png,0
922.png,1
923.png,1
924.png,1
925.png,1
926.png,1
927.png,0
928.png,1
929.png,0
930.png,1
931.png,0
932.png,1
933.png,0
934.png,1
935.png,1
936.png,0
937.png,1
938.png,0
939.png,1
940.png,1
941.png,1
942.png,1
943.png,1
944.png,0
945.png,0
946.png,0
947.png,0
948.png,1
949.png,0
950.png,0
951.png,1
952.png,0
953.png,0
954.png,1
955.png,1
956.png,0
957.png,0
958.png,1
959.png,0
960.png,0
961.png,0
962.png,1
963.png,0
964.png,1
965.png,0
966.png,0
967.png,1
968.png,0
969.png,0
970.png,1
971.png,0
972.png,0
973.png,0
974.png,0
975.png,0
976.png,0
977.png,0
978.png,0
979.png,1
980.png,0
981.png,1
982.png,1
983.png,1
984.png,1
985.png,1
986.png,0
987.png,0
988.png,0
989.png,0
990.png,0
991.png,0
992.png,1
993.png,0
994.png,0
995.png,0
996.png,1
997.png,0
998.png,0
999.png,1
1000.png,0
1001.png,0
1002.png,1
1003.png,1
1004.png,1
1005.png,0
1006.png,0
1007.png,0
1008.png,1
1009.png,0
1010.png,0
1011.png,0
1012.png,0
1013.png,0
1014.png,1
1015.png,0
1016.png,0
1017.png,0
1018.png,0
1019.png,1
1020.png,0
1021.png,0
1022.png,1
1023.png,0
1024.png,1
1025.png,1
1026.png,1
1027.png,0
1028.png,1
1029.png,1
1030.png,0
1031.png,0
1032.png,1
1033.png,0
1034.png,0
1035.png,1
1036.png,0
1037.png,0
1038.png,0
1039.png,0
1040.png,0
1041.png,1
1042.png,0
1043.png,1
1044.png,1
1045.png,0
1046.png,1
1047.png,0
1048.png,0
1049.png,0
1050.png,0
1051.png,1
1052.png,1
1053.png,0
1054.png,0
1055.png,0
1056.png,0
1057.png,1
1058.png,0
1059.png,0
1060.png,0
1061.png,1
1062.png,0
1063.png,1
1064.png,1
1065.png,1
1066.png,1
1067.png,1
1068.png,1
1069.png,1
1070.png,0
1071.png,1
1072.png,0
1073.png,0
1074.png,1
1075.png,1
1076.png,0
1077.png,1
1078.png,1
1079.png,0
1080.png,1
1081.png,0
1082.png,0
1083.png,0
1084.png,1
1085.png,0
1086.png,0
1087.png,1
1088.png,1
1089.png,1
1090.png,1
1091.png,0
1092.png,1
1093.png,1
1094.png,0
1095.png,0
1096.png,1
1097.png,0
1098.png,1
1099.png,1
1100.png,1
1101.png,0
1102.png,1
1103.png,1
1104.png,1
1105.png,0
1106.png,0
1107.png,0
1108.png,1
1109.png,0
1110.png,0
1111.png,0
1112.png,0
1113.png,1
1114.png,1
1115.png,0
1116.png,1
1117.png,1
1118.png,0
1119.png,1
1120.png,1
1121.png,1
1122.png,1
1123.png,0
1124.png,0
1125.png,1
1126.png,1
1127.png,0
1128.png,0
1129.png,0
1130.png,0
1131.png,1
1132.png,0
1133.png,1
1134.png,0
1135.png,1
1136.png,0
1137.png,1
1138.png,1
1139.png,1
1140.png,1
1141.png,0
1142.png,0
1143.png,0
1144.png,1
1145.png,1
1146.png,1
1147.png,0
1148.png,1
1149.png,0
1150.png,1
1151.png,1
1152.png,0
1153.png,1
1154.png,0
1155.png,0
1156.png,1
1157.png,0
1158.png,0
1159.png,1
1160.png,1
1161.png,0
1162.png,1
1163.png,0
1164.png,0
1165.png,1
1166.png,0
1167.png,0
1168.png,1
1169.png,0
1170.png,1
1171.png,1
1172.png,0
1173.png,1
1174.png,0
1175.png,0
1176.png,0
1177.png,1
1178.png,0
1179.png,1
1180.png,0
1181.png,0
1182.png,1
1183.png,1
1184.png,1
1185.png,0
1186.png,0
1187.png,0
1188.png,1
1189.png,0
1190.png,1
1191.png,1
1192.png,1
1193.png,0
1194.png,1
1195.png,0
1196.png,1
1197.png,0
1198.png,0
1199.png,0
1200.png,1
1201.png,1
1202.png,1
1203.png,1
1204.png,1
1205.png,1
1206.png,1
1207.png,1
1208.png,0
1209.png,0
1210.png,1
1211.png,0
1212.png,0
1213.png,0
1214.png,1
1215.png,0
1216.png,1
1217.png,0
1218.png,0
1219.png,0
1220.png,0
1221.png,1
1222.png,1
1223.png,0
1224.png,1
1225.png,1
1226.png,0
1227.png,1
1228.png,1
1229.png,0
1230.png,1
1231.png,0
1232.png,1
1233.png,0
1234.png,0
1235.png,0
1236.png,1
1237.png,1
1238.png,1
1239.png,0
1240.png,0
1241.png,1
1242.png,0
1243.png,1
1244.png,0
1245.png,0
1246.png,1
1247.png,0
1248.png,0
1249.png,0
1250.png,1
1251.png,0
1252.png,1
1253.png,1
1254.png,0
1255.png,0
1256.png,1
1257.png,1
1258.png,1
1259.png,1
1260.png,1
1261.png,1
1262.png,0
1263.png,0
1264.png,1
1265.png,0
1266.png,1
1267.png,1
1268.png,1
1269.png,0
1270.png,0
1271.png,1
1272.png,0
1273.png,0
1274.png,0
1275.png,0
1276.png,1
1277.png,1
1278.png,0
1279.png,0
1280.png,1
1281.png,1
1282.png,0
1283.png,1
1284.png,1
1285.png,1
1286.png,0
1287.png,0
1288.png,0
1289.png,1
1290.png,0
1291.png,1
1292.png,0
1293.png,1
1294.png,0
1295.png,0
1296.png,0
1297.png,0
1298.png,1
1299.png,0
1300.png,1
1301.png,0
1302.png,1
1303.png,0
1304.png,1
1305.png,1
1306.png,1
1307.png,0
1308.png,1
1309.png,0
1310.png,1
1311.png,1
1312.png,1
1313.png,0
1314.png,0
1315.png,0
1316.png,1
1317.png,1
1318.png,0
1319.png,0
1320.png,0
1321.png,0
1322.png,1
1323.png,1
1324.png,0
1325.png,1
1326.png,1
1327.png,0
1328.png,0
1329.png,0
1330.png,0
1331.png,0
1332.png,1
1333.png,0
1334.png,0
1335.png,1
1336.png,1
1337.png,1
1338.png,1
1339.png,0
1340.png,1
1341.png,1
1342.png,1
1343.png,1
1344.png,0
1345.png,0
1346.png,1
1347.png,1
1348.png,0
1349.png,0
1350.png,1
1351.png,0
1352.png,0
1353.png,1
1354.png,0
1355.png,1
1356.png,1
1357.png,0
1358.png,1
1359.png,1
1360.png,1
1361.png,0
1362.png,0
1363.png,1
1364.png,0
1365.png,0
1366.png,0
1367.png,0
1368.png,1
1369.png,0
1370.png,1
1371.png,1
1372.png,0
1373.png,1
1374.png,1
1375.png,1
1376.png,1
1377.png,0
1378.png,1
1379.png,1
1380.png,0
1381.png,0
1382.png,0
1383.png,0
1384.png,1
1385.png,0
1386.png,1
1387.png,1
1388.png,1
1389.png,0
1390.png,0
1391.png,1
1392.png,0
1393.png,0
1394.png,1
1395.png,1
1396.png,0
1397.png,0
1398.png,0
1399.png,0
1400.png,1
1401.png,1
1402.png,1
1403.png,1
1404.png,1
1405.png,0
1406.png,0
1407.png,0
1408.png,1
1409.png,1
1410.png,1
1411.png,0
1412.png,0
1413.png,0
1414.png,0
1415.png,0
1416.png,1
1417.png,1
1418.png,1
1419.png,1
1420.png,1
1421.png,0
1422.png,1
1423.png,0
1424.png,1
1425.png,1
1426.png,1
1427.png,1
1428.png,1
1429.png,0
1430.png,0
1431.png,1
1432.png,0
1433.png,1
1434.png,0
1435.png,0
1436.png,1
1437.png,1
1438.png,0
1439.png,1
1440.png,0
1441.png,0
1442.png,1
1443.png,0
1444.png,0
1445.png,0
1446.png,0
1447.png,0
1448.png,1
1449.png,1
1450.png,1
1451.png,0
1452.png,1
1453.png,1
1454.png,0
1455.png,0
1456.png,1
1457.png,0
1458.png,0
1459.png,0
1460.png,0
1461.png,0
1462.png,1
1463.png,1
1464.png,1
1465.png,1
1466.png,1
1467.png,1
1468.png,0
1469.png,1
1470.png,1
1471.png,0
1472.png,1
1473.png,0
1474.png,0
1475.png,1
1476.png,0
1477.png,0
1478.png,1
1479.png,0
1480.png,0
1481.png,0
1482.png,0
1483.png,0
1484.png,1
1485.png,0
1486.png,1
1487.png,0
1488.png,0
1489.png,1
1490.png,1
1491.png,0
1492.png,1
1493.png,0
1494.png,0
1495.png,0
1496.png,0
1497.png,0
1498.png,0
1499.png,0
1500.png,0
1501.png,0
1502.png,1
1503.png,0
1504.png,0
1505.png,0
1506.png,1
1507.png,1
1508.png,0
1509.png,0
1510.png,0
1511.png,0
1512.png,0
1513.png,1
1514.png,0
1515.png,1
1516.png,1
1517.png,1
1518.png,1
1519.png,0
1520.png,1
1521.png,1
1522.png,0
1523.png,1
1524.png,0
1525.png,0
1526.png,1
1527.png,1
1528.png,0
1529.png,1
1530.png,1
1531.png,1
1532.png,0
1533.png,0
1534.png,0
1535.png,1
1536.png,1
1537.png,0
1538.png,1
1539.png,0
1540.png,0
1541.png,0
1542.png,1
1543.png,1
1544.png,0
1545.png,1
1546.png,1
1547.png,0
1548.png,0
1549.png,0
1550.png,1
1551.png,0
1552.png,0
1553.png,0
1554.png,1
1555.png,0
1556.png,1
1557.png,1
1558.png,1
1559.png,0
1560.png,0
1561.png,1
1562.png,1
1563.png,0
1564.png,1
1565.png,0
1566.png,0
1567.png,1
1568.png,1
1569.png,0
1570.png,0
1571.png,0
1572.png,0
1573.png,1
1574.png,1
1575.png,1
1576.png,1
1577.png,0
1578.png,1
1579.png,0
1580.png,0
1581.png,1
1582.png,0
1583.png,0
1584.png,1
1585.png,0
1586.png,1
1587.png,1
1588.png,1
1589.png,0
1590.png,1
1591.png,0
1592.png,0
1593.png,1
1594.png,1
1595.png,0
1596.png,0
1597.png,0
1598.png,1
1599.png,0
1600.png,1
1601.png,1
1602.png,1
1603.png,0
1604.png,0
1605.png,0
1606.png,1
1607.png,1
1608.png,1
1609.png,1
1610.png,0
1611.png,0
1612.png,1
1613.png,0
1614.png,0
1615.png,0
1616.png,0
1617.png,0
1618.png,0
1619.png,1
1620.png,1
1621.png,0
1622.png,1
1623.png,1
1624.png,0
1625.png,1
1626.png,0
1627.png,0
1628.png,1
1629.png,0
1630.png,0
1631.png,1
1632.png,1
1633.png,0
1634.png,0
1635.png,1
1636.png,0
1637.png,1
1638.png,0
1639.png,0
1640.png,1
1641.png,0
1642.png,1
1643.png,1
1644.png,1
1645.png,0
1646.png,1
1647.png,1
1648.png,0
1649.png,0
1650.png,0
1651.png,0
1652.png,0
1653.png,1
1654.png,1
1655.png,0
1656.png,1
1657.png,0
1658.png,1
1659.png,0
1660.png,0
1661.png,0
1662.png,0
1663.png,0
1664.png,0
1665.png,1
1666.png,0
1667.png,0
1668.png,0
1669.png,0
1670.png,1
1671.png,0
1672.png,0
1673.png,0
1674.png,0
1675.png,0
1676.png,0
1677.png,1
1678.png,0
1679.png,0
1680.png,0
1681.png,1
1682.png,1
1683.png,0
1684.png,1
1685.png,0
1686.png,1
1687.png,1
1688.png,0
1689.png,0
1690.png,1
1691.png,0
1692.png,0
1693.png,1
1694.png,0
1695.png,1
1696.png,0
1697.png,1
1698.png,0
1699.png,0
1700.png,1
1701.png,0
1702.png,0
1703.png,1
1704.png,0
1705.png,1
1706.png,1
1707.png,1
1708.png,1
1709.png,0
1710.png,1
1711.png,0
1712.png,1
1713.png,1
1714.png,1
1715.png,0
1716.png,0
1717.png,1
1718.png,1
1719.png,1
1720.png,1
1721.png,1
1722.png,0
1723.png,1
1724.png,0
1725.png,1
1726.png,0
1727.png,0
1728.png,1
1729.png,1
1730.png,0
1731.png,1
1732.png,0
1733.png,0
1734.png,1
1735.png,0
1736.png,1
1737.png,0
1738.png,1
1739.png,1
1740.png,1
1741.png,1
1742.png,1
1743.png,0
1744.png,0
1745.png,0
1746.png,0
1747.png,0
1748.png,0
1749.png,0
1750.png,1
1751.png,0
1752.png,0
1753.png,1
1754.png,1
1755.png,0
1756.png,0
1757.png,0
1758.png,0
1759.png,0
1760.png,1
1761.png,0
1762.png,0
1763.png,0
1764.png,1
1765.png,0
1766.png,0
1767.png,1
1768.png,0
1769.png,1
1770.png,1
1771.png,1
1772.png,1
1773.png,1
1774.png,1
1775.png,1
1776.png,1
1777.png,0
1778.png,1
1779.png,0
1780.png,1
1781.png,0
1782.png,1
1783.png,0
1784.png,1
1785.png,0
1786.png,0
1787.png,1
1788.png,0
1789.png,0
1790.png,1
1791.png,0
1792.png,1
1793.png,1
1794.png,0
1795.png,1
1796.png,1
1797.png,1
1798.png,1
1799.png,1
1800.png,0
1801.png,0
1802.png,0
1803.png,0
1804.png,0
1805.png,1
1806.png,0
1807.png,0
1808.png,0
1809.png,1
1810.png,1
1811.png,1
1812.png,1
1813.png,1
1814.png,0
1815.png,0
1816.png,0
1817.png,1
1818.png,1
1819.png,1
1820.png,0
1821.png,0
1822.png,0
1823.png,1
1824.png,0
1825.png,0
1826.png,1
1827.png,0
1828.png,0
1829.png,0
1830.png,0
1831.png,1
1832.png,1
1833.png,1
1834.png,0
1835.png,1
1836.png,0
1837.png,1
1838.png,0
1839.png,0
1840.png,1
1841.png,0
1842.png,1
1843.png,0
1844.png,1
1845.png,0
1846.png,0
1847.png,0
1848.png,0
