filename,label
0.png,1
1.png,0
2.png,0
3.png,0
4.png,1
5.png,0
6.png,1
7.png,0
8.png,0
9.png,0
10.png,1
11.png,1
12.png,1
13.png,0
14.png,1
15.png,0
16.png,0
17.png,0
18.png,0
19.png,1
20.png,1
21.png,0
22.png,1
23.png,1
24.png,0
25.png,0
26.png,0
27.png,1
28.png,1
29.png,0
30.png,0
31.png,0
32.png,1
33.png,1
34.png,1
35.png,1
36.png,1
37.png,0
38.png,1
39.png,0
40.png,0
41.png,1
42.png,0
43.png,0
44.png,0
45.png,1
46.png,1
47.png,1
48.png,0
49.png,1
50.png,1
51.png,0
52.png,0
53.png,1
54.png,1
55.png,1
56.png,1
57.png,0
58.png,0
59.png,0
60.png,1
61.png,1
62.png,0
63.png,0
64.png,0
65.png,0
66.png,1
67.png,0
68.png,1
69.png,1
70.png,0
71.png,0
72.png,1
73.png,1
74.png,0
75.png,1
76.png,0
77.png,1
78.png,1
79.png,0
80.png,1
81.png,1
82.png,0
83.png,0
84.png,0
85.png,0
86.png,1
87.png,1
88.png,0
89.png,1
90.png,0
91.png,0
92.png,0
93.png,0
94.png,0
95.png,0
96.png,1
97.png,1
98.png,1
99.png,0
100.png,1
101.png,1
102.png,1
103.png,1
104.png,1
105.png,0
106.png,1
107.png,1
108.png,0
109.png,1
110.png,1
111.png,0
112.png,1
113.png,0
114.png,0
115.png,0
116.png,1
117.png,1
118.png,0
119.png,1
120.png,1
121.png,0
122.png,0
123.png,1
124.png,1
125.png,0
126.png,0
127.png,1
128.png,1
129.png,1
130.png,0
131.png,1
132.png,0
133.png,1
134.png,0
135.png,1
136.png,0
137.png,1
138.png,1
139.png,1
140.png,0
141.png,0
142.png,0
143.png,0
144.png,0
145.png,0
146.png,0
147.png,1
148.png,1
149.png,1
150.png,0
151.png,1
152.png,1
153.png,1
154.png,1
155.png,1
156.png,1
157.png,0
158.png,1
159.png,0
160.png,1
161.png,1
162.png,0
163.png,1
164.png,1
165.png,0
166.png,0
167.png,0
168.png,0
169.png,1
170.png,1
171.png,1
172.png,1
173.png,0
174.png,1
175.png,0
176.png,1
177.png,0
178.png,0
179.png,1
180.png,1
181.png,0
182.png,0
183.png,0
184.png,0
185.png,1
186.png,0
187.png,0
188.png,1
189.png,0
190.png,0
191.png,0
192.png,0
193.png,0
194.png,0
195.png,0
196.png,1
197.png,1
198.png,1
199.png,0
200.png,1
201.png,0
202.png,0
203.png,0
204.png,1
205.png,0
206.png,0
207.png,0
208.png,0
209.png,1
210.png,0
211.png,0
212.png,1
213.png,1
214.png,0
215.png,0
216.png,0
217.png,0
218.png,0
219.png,0
220.png,1
221.png,0
222.png,0
223.png,1
224.png,0
225.png,1
226.png,0
227.png,0
228.png,0
229.png,1
230.png,1
231.png,0
232.png,1
233.png,0
234.png,0
235.png,0
236.png,1
237.png,1
238.png,1
